"noc_plan_desc","distance_from_node_ft","network_node","network_node_latitude","network_node_longitude","first_cost","hh_count","cost_hh","address_id","win_lat","win_lon","upstream_nodes","feeder_fiber_footage","gpon_dist_cost","geo_prec","win_census_block","caf_cb_type","caf1r2_funding_type","addr_link_type","primary_number","pre_directional","street","street_suffix","post_directional","unit_designator","secondary_number","city","state","zip","zip4","data_source","win_exchange_id","hh_svc_key","package","miror_status","drs_wc","miror_wire_center","drs_exchange","qualified_desc","awg","ft_to_bb","term_number","route_lead","miror_theoretical_loop_length","terminal_number","route_number","terminal_id","switch_center_clli","gcomms_awg","gcomms_ft_to_bb","fid","csa","csa_status","co_csa"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000022788527","0","0","","LXTNSCP0038","","","","0","000026","1350","","{5BEC5A2F-892C-406D-B27C-E3383AF126DF}","1","12543","260 CAROLINE HILL RD","LEXINGTON","7153","","QUAL UP TO 50 MB RANGE","0","SC000LXTN","LXTNSCP0038","SC050LXTN","NOT USED","","","000026","7153","SC050LXTN","p60","2865.57","2865.57","LXTN1130000260","","","1","LXTNSCP0038","","6BA8","","","SC","450630210461018"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000035618231","0","0","","LXTNSCP0038","","","","0","000015","48","","{C821DC07-039E-4E07-97D7-DBB475621CFC}","1","12581","351 CAROLINE HILL RD","LEXINGTON","7153","","QUAL UP TO 100 MB RANGE","0","SC000LXTN","LXTNSCP0038","SC050LXTN","NOT USED","","","000015","7153","SC050LXTN","p60","1951.22","1951.22","LXTN1130000351","","","1","LXTNSCP0038","","6BA8","","","SC","450630210461020"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000035813979","0","0","","LXTNSCU0706","","","","0","000054","152","","{7C62C6CF-1EB7-4490-A5DA-2235EEF60E1F}","1","12589","534 HIGHWAY 378","LEXINGTON","7105","","QUAL UP TO 100 MB RANGE","0","SC000LXTN","LXTNSCU0706","SC050LXTN","NOT USED","","","000054","7105","SC050LXTN","p60","678.37","678.37","LXTN1124000534","","","1","LXTNSCU0706","","6BA8","","","SC","450630210481012"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000000350944","0","0","","LXTNSCP0038","","","","0","000009"," ","","{DA74BABB-B12B-45DF-955C-550A666EE788}","1","12608","232 CAROLINE HILL RD","LEXINGTON","7158","","QUAL UP TO 50 MB RANGE","0","SC000LXTN","LXTNSCP0038","SC050LXTN","NOT USED","","","000009","7158","SC050LXTN"," ","2672.69","2672.69"," ","","","1","LXTNSCP0038","","6BA8","","","SC","450630210461018"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000016935545","0","0","","LXTNSCP0038","","","","0","000001","1160","","{580E800E-8DF4-41CA-AE1D-ACC3461C03E7}","1","12807","275 CAROLINE HILL RD","LEXINGTON","7156","","QUAL UP TO 100 MB RANGE","0","SC000LXTN","LXTNSCP0038","SC050LXTN","NOT USED","","","000001","7156","SC050LXTN","p60","1229.78","1229.78","LXTN1130000275","","","1","LXTNSCP0038","","6BA8","","","SC","450630210461019"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000031169340","0","0","","LXTNSCP0038","","","","0","000012","297","","{CFCA1433-CF8E-47A5-B472-49EA3FCA3D2A}","1","12904","331 CAROLINE HILL RD","LEXINGTON","7153","","QUAL UP TO 100 MB RANGE","0","SC000LXTN","LXTNSCP0038","SC050LXTN","NOT USED","","","000012","7153","SC050LXTN","p60","1584.23","1584.23","LXTN1130000331","","","1","LXTNSCP0038","","6BA8","","","SC","450630210461020"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000035721662","0","0","","LXTNSCU0700","","","","0","000013","7502","","{DC91FBEF-FDC7-4782-BCAB-277F97F6F21F}","0.912","13221","140 ELMER RD","LEXINGTON","7151","","NO QUAL","0","SC000LXTN","LXTNSCU0700","SC050LXTN","NOT USED","","","000013","7151","SC050LXTN","p60","12674.78","12674.78","LXTN2506000140","","","0.912","LXTNSCU0700","","6BA8","","","SC","450630210461021"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000013151433","0","0","","LXTNSCP0038","","","","0","000001"," ","","{C326CCA2-E2C1-4043-8A01-4EBBEA8836E2}","1","13489","153 FRESH SPRING WAY","LEXINGTON","7158","","QUAL UP TO 100 MB RANGE","0","SC000LXTN","LXTNSCP0038","SC050LXTN","NOT USED","","","000001","7158","SC050LXTN"," ","1550.94","1550.94"," ","","","1","LXTNSCP0038","","6BA8","","","SC","450630210461018"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000000842189","0","0","","LXTNSCU0706","","","","0","000017","2630","","{2D8BA6EE-B8F7-4CE9-9DDB-29D0DC3689AB}","1","13555","321 BEAUMONT DR","LEXINGTON","7127","","QUAL UP TO 50 MB RANGE","0","SC000LXTN","LXTNSCU0706","SC050LXTN","NOT USED","","","000017","7127","SC050LXTN","p60","2193.83","2193.83","LXTN2765000321","","","1","LXTNSCU0706","","6BA8","","","SC","450630210461018"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000004969353","0","0","","LXTNSCP0038","","","","0","000003","1050","","{942407D5-E580-4047-AFE9-8976D9DBAE70}","1","13649","117 WILD SPRING RD","LEXINGTON","7153","","QUAL UP TO 100 MB RANGE","0","SC000LXTN","LXTNSCP0038","SC050LXTN","NOT USED","","","000003","7153","SC050LXTN","p60","732.2","732.2","LXTN1422000117","","","1","LXTNSCP0038","","6BA8","","","SC","450630210461020"
